,gene
436,RIT1
836,RMND5A
655,RNASEH1
226,RNF11
350,RNF115
1213,RNF123
1375,RNF13
1971,RNF130
1883,RNF14
1925,RNF145
866,RNF149
1450,RNF168
614,RNF187
158,RNF19B
1476,RNF4
1948,RNF44
311,RNPC3
551,RNPEP
1087,RNPEPL1
541,RO60
294,RPAP2
273,RPF1
840,RPIA
1333,RPN1
370,RPRD2
1990,RREB1
452,RRNAD1
1386,RSRC1
108,RSRP1
306,RTCA
814,RTKN
766,RTN4
1455,RUBCN
1963,RUFY1
1551,RUFY3
431,RUSC1
1332,RUVBL1
1271,RYBP
1350,RYK
391,S100A10
392,S100A11
398,S100A13
397,S100A16
396,S100A4
395,S100A6
394,S100A8
393,S100A9
156,S100PBP
310,S1PR1
1180,SACM1L
902,SAP130
1670,SAP30
1916,SAP30L
1840,SAR1B
320,SARS
1135,SATB1
1775,SCAMP1
1562,SCARB2
645,SCCPDH
1633,SCLT1
195,SCMH1
382,SCNM1
237,SCP2
954,SCRN3
1559,SDAD1
678,SDC1
139,SDC3
637,SDCCAG8
605,SDE2
4,SDF4
1687,SDHA
74,SDHB
1115,SEC13
349,SEC22B
1169,SEC22C
1841,SEC24A
1609,SEC24B
1618,SEC24D
1572,SEC31A
1331,SEC61A1
1396,SEC62
1511,SEL1L3
281,SELENOF
695,SELENOI
1246,SELENOK
112,SELENON
1730,SELENOP
1218,SEMA3F
852,SEMA4C
1698,SEMA5A
1431,SENP2
1452,SENP5
1509,SEPSECS
875,SEPTIN10
1564,SEPTIN11
1092,SEPTIN2
1832,SEPTIN8
256,SERBP1
143,SERINC2
1779,SERINC5
1377,SERP1
1980,SERPINB1
1982,SERPINB6
1981,SERPINB9
781,SERTAD2
1184,SETD2
1104,SETD5
1636,SETD7
378,SETDB1
180,SF3A3
990,SF3B1
684,SF3B6
164,SFPQ
500,SFT2D2
1945,SFXN1
1538,SGCB
1052,SGPP2
114,SH3BGRL3
1478,SH3BP2
1129,SH3BP5
1650,SH3D19
280,SH3GLB1
1667,SH3RF1
1492,SH3TC1
648,SH3YL1
418,SHC1
1191,SHISA5
1379,SIAH2
1856,SIL1
1999,SIRT5
19,SKI
1399,SKIL
1534,SLAIN2
1470,SLBP
1648,SLC10A7
1034,SLC11A1
1691,SLC12A7
337,SLC16A1
1720,SLC1A3
782,SLC1A4
883,SLC20A1
949,SLC25A12
314,SLC25A24
1261,SLC25A26
1360,SLC25A36
1679,SLC25A4
443,SLC25A44
1895,SLC26A2
1193,SLC26A6
402,SLC27A3
200,SLC2A1
577,SLC30A1
1755,SLC30A5
721,SLC30A6
308,SLC30A7
1529,SLC30A9
1382,SLC33A1
1868,SLC35A4
1295,SLC35A5
1995,SLC35B3
16,SLC35E2B
885,SLC35F5
696,SLC35F6
1911,SLC36A1
406,SLC39A1
986,SLC39A10
1597,SLC39A8
977,SLC40A1
567,SLC41A1
1460,SLC49A3
710,SLC4A1AP
1141,SLC4A7
422,SLC50A1
670,SLC66A3
740,SLC8A1
1934,SLIT3
1252,SLMAP
192,SMAP2
1643,SMARCA5
1588,SMARCAD1
1026,SMARCAL1
1187,SMARCC1
1391,SMC4
445,SMG5
528,SMG7
161,SMIM12
1745,SMIM15
1512,SMIM20
1905,SMIM3
1235,SMIM4
904,SMPD4
584,SMYD2
643,SMYD3
1172,SNRK
846,SNRNP200
141,SNRNP40
794,SNRPG
704,SNX17
1819,SNX2
1820,SNX24
390,SNX27
1325,SNX4
304,SNX7
516,SOAT1
754,SOCS5
1508,SOD3
321,SORT1
560,SOX13
1064,SP100
1062,SP110
1063,SP140L
952,SP3
1021,SPAG16
1912,SPARC
1580,SPARCL1
996,SPATS2L
1238,SPCS1
1672,SPCS3
69,SPEN
1466,SPON2
917,SPOPL
1581,SPP1
803,SPR
785,SPRED2
1626,SPRY1
45,SPSB1
765,SPTBN1
1968,SQSTM1
1865,SRA1
1752,SREK1
569,SRGAP2
54,SRM
1807,SRP19
1545,SRP72
601,SRP9
105,SRRM1
103,SRSF10
260,SRSF11
136,SRSF4
738,SRSF7
242,SSBP3
1991,SSR1
439,SSR2
1384,SSR3
13,SSU72
1437,ST6GAL1
1796,ST8SIA4
1233,STAB1
1355,STAG1
923,STAM2
809,STAMBP
843,STARD7
982,STAT1
